Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/07/2017,"POS DEBIT                TRACFONE    *AIRTIME      TRACFONE.COM FL",-10.00,MISC_DEBIT, ,,
DEBIT,07/07/2017,"POS DEBIT                TRACFONE    *AIRTIME      TRACFONE.COM FL",-10.00,MISC_DEBIT, ,,
CREDIT,07/07/2017,"Online Transfer 6346404208 from One Community FCU ####9000 transaction #: 6346404208 07/07",300.00,ACCT_XFER, ,,
DEBIT,07/07/2017,"POS DEBIT                MEDEXPRESS UC S PARKERB  PARKERSBURG   WV",-35.00,MISC_DEBIT, ,,
DEBIT,07/07/2017,"POS DEBIT                SQ *STOKED COFFEE, LLC   MARIETTA      OH",-9.80,MISC_DEBIT, ,,
DEBIT,07/07/2017,"POS DEBIT                Third Street Deli - Par  PARKERSBURG   WV",-8.51,MISC_DEBIT, ,,
DEBIT,07/06/2017,"JCPenney CC      JCP EPAY   1351562434      WEB ID: 9069872103",-25.00,ACH_DEBIT,655.12,,
DEBIT,07/06/2017,"DOLLAR TR 220 GIHON VL PARKERSBURG WV        07/06",-29.47,DEBIT_CARD,680.12,,
DEBIT,07/06/2017,"WE LUV PETS - MARI MARIETTA OH       304365  07/06",-33.22,DEBIT_CARD,709.59,,
DEBIT,07/05/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        07/05",-23.89,DEBIT_CARD,742.81,,
DEBIT,07/05/2017,"PAT CATANS 34 PARKERSB PARKERSBURG WV063076  07/05",-29.54,DEBIT_CARD,766.70,,
DEBIT,07/05/2017,"WM SUPERC Wal-Mart Sup VIENNA WV             07/04",-118.94,DEBIT_CARD,796.24,,
DEBIT,07/05/2017,"Payment to Chase card ending in 7433 07/05",-119.00,ACCT_XFER,915.18,,
DEBIT,07/05/2017,"DISCOUNT POOL SUPPLY PARKERSBURG WV          07/03",-27.54,DEBIT_CARD,1034.18,,
DEBIT,07/03/2017,"Wal-Mart Super Center VIENNA WV              07/03",-30.18,DEBIT_CARD,1061.72,,
DEBIT,07/03/2017,"CVS/PHARM 06276--220 G PARKERSBURG WV        07/03",-9.73,DEBIT_CARD,1091.90,,
DEBIT,07/03/2017,"PAT CATANS 34 PARKERSB PARKERSBURG WV767893  07/03",-34.87,DEBIT_CARD,1101.63,,
DEBIT,07/03/2017,"SHELL OIL 57444964100 PARKERSBURG WV         07/02",-20.04,DEBIT_CARD,1136.50,,
DEBIT,07/03/2017,"KROGER    930 DIVISON PARKERSBURG WV         07/02",-72.54,DEBIT_CARD,1156.54,,
DEBIT,07/03/2017,"GIHON VILLAGE FOODLAND PARKERSBURG WV045616  07/02",-10.97,DEBIT_CARD,1229.08,,
DEBIT,07/03/2017,"Online Payment 6336930359 To DOMINION HOPE 07/03",-22.95,BILLPAY,1240.05,,
DEBIT,07/03/2017,"Online Transfer 6336638341 to One Community FCU ####9000 transaction #: 6336638341 07/03",-725.00,ACCT_XFER,1263.00,,
DEBIT,07/03/2017,"Payment to Chase card ending in 2079 07/03",-25.00,ACCT_XFER,1988.00,,
CREDIT,07/03/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",1985.80,ACH_CREDIT,2013.00,,
DEBIT,06/29/2017,"KOOL EATS LLC PARKERSBURG WV                 06/27",-9.90,DEBIT_CARD,27.20,,
DEBIT,06/28/2017,"SQ *HOTDOG WILLYS MINERAL WELLS WV           06/28",-7.00,DEBIT_CARD,37.10,,
DEBIT,06/28/2017,"DUNKIN #350517 Q35 PARKERSBURG WV            06/27",-3.19,DEBIT_CARD,44.10,,
DEBIT,06/27/2017,"BLIZZARD ENT*WOW SUB BLIZZARD.COM CA         06/26",-14.99,DEBIT_CARD,47.29,,
DEBIT,06/27/2017,"PAYPAL *NETFLIX.COM 402-935-7733 CA          06/26",-9.99,DEBIT_CARD,62.28,,
CREDIT,06/27/2017,"ATM CASH DEPOSIT 06/27 321 MAIN ST BELPRE OH",40.00,ATM,72.27,,
DEBIT,06/26/2017,"PAYMENT FOR AMZ  STORECARD  1342871469      WEB ID: 9069872103",-35.00,ACH_DEBIT,32.27,,
DEBIT,06/26/2017,"GOODWILL KV VIENNA 3 VIENNA WV       732468  06/26",-8.54,DEBIT_CARD,67.27,,
DEBIT,06/26/2017,"PAT CATANS 34 PARKERSB PARKERSBURG WV638655  06/25",-26.62,DEBIT_CARD,75.81,,
DEBIT,06/26/2017,"SHELL OIL 57444964100 PARKERSBURG WV         06/24",-20.00,DEBIT_CARD,102.43,,
DEBIT,06/26/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        06/24",-21.44,DEBIT_CARD,122.43,,
DEBIT,06/26/2017,"SQ *NSK SALES Parkersburg WV                 06/23",-42.80,DEBIT_CARD,143.87,,
DEBIT,06/26/2017,"MCDONALD'S F2676 PARKERSBURG WV              06/23",-7.37,DEBIT_CARD,186.67,,
DEBIT,06/23/2017,"Lowes CC         LWS EPAY   1342069933      WEB ID: 9069872103",-27.00,ACH_DEBIT,194.04,,
DEBIT,06/23/2017,"Online Payment 6317616979 To MONONGAHELA POWER 06/23",-195.92,BILLPAY,221.04,,
DEBIT,06/23/2017,"SUBWAY        00467282 PARKERSBURG WV        06/22",-12.71,DEBIT_CARD,416.96,,
CREDIT,06/23/2017,"CAPITAL ONE N.A. CAPITALONE                 PPD ID: 1510394779",100.00,ACH_CREDIT,429.67,,
DEBIT,06/22/2017,"SUDDENLINK COMMUNICTN 304-343-3343 MO        06/22",-94.71,DEBIT_CARD,329.67,,
DEBIT,06/22/2017,"CVS/PHARMACY #06276 PARKERSBURG WV           06/21",-60.18,DEBIT_CARD,424.38,,
DEBIT,06/21/2017,"CBS ALL ACCESS 888-274-5343 CA               06/19",-9.99,DEBIT_CARD,484.56,,
DEBIT,06/21/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        06/21",-13.78,DEBIT_CARD,494.55,,
DEBIT,06/21/2017,"CRICUT 877-343-2881 UT                       06/19",-9.99,DEBIT_CARD,508.33,,
DEBIT,06/21/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/20",9.63,DEBIT_CARD,518.32,,
DEBIT,06/20/2017,"Online Transfer 6308556561 to One Community FCU ####9000 transaction #: 6308556561 06/20",-400.00,ACCT_XFER,508.69,,
DEBIT,06/20/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         06/20",-10.86,DEBIT_CARD,908.69,,
DEBIT,06/20/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         06/20",-10.86,DEBIT_CARD,919.55,,
DEBIT,06/20/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         06/20",-10.86,DEBIT_CARD,930.41,,
DEBIT,06/20/2017,"WALMART.COM 800966654 800-966-6546 AR        06/19",-16.95,DEBIT_CARD,941.27,,
DEBIT,06/20/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/20",-179.89,DEBIT_CARD,958.22,,
DEBIT,06/20/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/19",-15.47,DEBIT_CARD,1138.11,,
DEBIT,06/19/2017,"Online Payment 6307806944 To City of Parkersburg 06/19",-26.29,BILLPAY,1153.58,,
DEBIT,06/19/2017,"Online Payment 6307806906 To PARKERSBURG UTILITY WV 06/19",-91.71,BILLPAY,1179.87,,
DEBIT,06/19/2017,"DOLLAR TR 220 GIHON VL PARKERSBURG WV        06/19",-6.42,DEBIT_CARD,1271.58,,
DEBIT,06/19/2017,"SALLY BEAUTY #06 704 G VIENNA WV     926971  06/18",-37.83,DEBIT_CARD,1278.00,,
DEBIT,06/19/2017,"WM SUPERC Wal-Mart Sup VIENNA WV             06/18",-175.04,DEBIT_CARD,1315.83,,
DEBIT,06/19/2017,"SAM'S Club VIENNA WV                         06/18",-100.33,DEBIT_CARD,1490.87,,
DEBIT,06/19/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/19",-2.10,DEBIT_CARD,1591.20,,
DEBIT,06/19/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/18",-29.54,DEBIT_CARD,1593.30,,
DEBIT,06/19/2017,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/19",-9.22,DEBIT_CARD,1622.84,,
DEBIT,06/19/2017,"FAMILY DOLLAR # PARKERSBURG WV               06/17",-21.40,DEBIT_CARD,1632.06,,
DEBIT,06/19/2017,"SOUTHWOOD ANIMAL HOSPI PARKERSBURG WV        06/17",-16.00,DEBIT_CARD,1653.46,,
CREDIT,06/19/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",1623.84,ACH_CREDIT,1669.46,,
DEBIT,06/16/2017,"MOTORISTS INSURA INS PREM                   PPD ID: 1314259550",-227.01,ACH_DEBIT,45.62,,
DEBIT,06/16/2017,"CAPTAIN HOOKS ADVENTU MYRTLE BEACH SC        06/15",-33.00,DEBIT_CARD,272.63,,
CREDIT,06/16/2017,"ATM CASH DEPOSIT 06/16 321 MAIN ST BELPRE OH",60.00,ATM,305.63,,
DEBIT,06/15/2017,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,245.63,,
DEBIT,06/15/2017,"NON-CHASE ATM WITHDRAW               124243  06/1510108 KIN",-103.00,ATM,248.13,,
DEBIT,06/15/2017,"HOBBYLOBBY 1430 US HI NORTH MYRTLE SC731852  06/15",-36.63,DEBIT_CARD,351.13,,
DEBIT,06/15/2017,"PUBLIX SUPER MAR 1576 NORTH MYRTLE SC        06/15 Purchase $11.53 Cash Back $20.00",-31.53,DEBIT_CARD,387.76,,
DEBIT,06/15/2017,"MARSHALLS 10816 KINGS MYRTLE BEACH SC        06/15",-17.24,DEBIT_CARD,419.29,,
DEBIT,06/15/2017,"CVS/PHARMACY #07396 N MYRTLE BEAC SC         06/14",-14.40,DEBIT_CARD,436.53,,
DEBIT,06/15/2017,"CRAB CATCHERS LITTLE RIVER SC                06/14",-122.60,DEBIT_CARD,450.93,,
DEBIT,06/15/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         06/15",-10.00,DEBIT_CARD,573.53,,
DEBIT,06/14/2017,"CVS/PHARM 07396--101 N MYRTLE BEAC SC        06/14",-15.06,DEBIT_CARD,583.53,,
DEBIT,06/14/2017,"BARGAIN BEACHWEAR #10 NORTH MYRTLE SC025670  06/14",-19.30,DEBIT_CARD,598.59,,
DEBIT,06/14/2017,"KRISPY KREME #547 N. MYRTLE BEA SC           06/13",-19.87,DEBIT_CARD,617.89,,
DEBIT,06/14/2017,"KRISPY KREME #546 MYRTLE BEACH SC            06/13",-12.99,DEBIT_CARD,637.76,,
DEBIT,06/14/2017,"PUREFLIX.COM 844-426-3549 AZ                 06/13",-10.99,DEBIT_CARD,650.75,,
CREDIT,06/14/2017,"Online Transfer 6290678714 from One Community FCU ####9000 transaction #: 6290678714 06/14",400.00,ACCT_XFER,661.74,,
DEBIT,06/13/2017,"Wal-Mart Super Center MYRTLE BEACH SC        06/13",-37.56,DEBIT_CARD,261.74,,
DEBIT,06/09/2017,"WalMart CC       WM EPAY    1331816957      WEB ID: 9069872103",-35.00,ACH_DEBIT,299.30,,
DEBIT,06/09/2017,"BARCLAYCARD US   CREDITCARD 460586003       WEB ID: 2510407970",-44.49,ACH_DEBIT,334.30,,
DEBIT,06/09/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         06/09",-10.00,DEBIT_CARD,378.79,,
DEBIT,06/08/2017,"CAPITAL ONE      ONLINE PMT 715939919324695 WEB ID: 9279744991",-25.00,ACH_DEBIT,388.79,,
DEBIT,06/08/2017,"CAPITAL ONE      ONLINE PMT 715939919324694 WEB ID: 9279744991",-25.00,ACH_DEBIT,413.79,,
DEBIT,06/08/2017,"BURGER KING #12920 PARKERSBURG WV            06/06",-9.29,DEBIT_CARD,438.79,,
CREDIT,06/08/2017,"Online Transfer 6276076007 from One Community FCU ####9000 transaction #: 6276076007 06/08",200.00,ACCT_XFER,448.08,,
DEBIT,06/07/2017,"BARCLAYCARD US   CREDITCARD 460056199       WEB ID: 2510407970",-27.00,ACH_DEBIT,248.08,,
DEBIT,06/07/2017,"KOHL'S DEPT STRS CHG PYMT   043000098265194 WEB ID: 9044021343",-27.00,ACH_DEBIT,275.08,,
DEBIT,06/07/2017,"CABELAS VISA     PAYMENTS                   WEB ID: 2470839081",-99.00,ACH_DEBIT,302.08,,
DEBIT,06/07/2017,"QUICKEN LOANS    MTG PYMTS  3357858229      WEB ID: 9112356513",-670.35,ACH_DEBIT,401.08,,
DEBIT,06/07/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        06/07",-33.76,DEBIT_CARD,1071.43,,
DEBIT,06/07/2017,"BLIZZARD ENT*WOW SUB BLIZZARD.COM CA         06/06",-14.99,DEBIT_CARD,1105.19,,
DEBIT,06/07/2017,"1875 Great Clips at Ma PARKERSBURG WV        06/06",-35.00,DEBIT_CARD,1120.18,,
DEBIT,06/06/2017,"JCPenney CC      JCP EPAY   1330238717      WEB ID: 9069872103",-25.00,ACH_DEBIT,1155.18,,
DEBIT,06/06/2017,"TRACTOR SUPPLY # 101 T PARKERSBURG WV928298  06/06",-15.89,DEBIT_CARD,1180.18,,
DEBIT,06/06/2017,"Payment to Chase card ending in 7433 06/06",-116.00,ACCT_XFER,1196.07,,
DEBIT,06/06/2017,"DAIRY QUEEN #13177 PARKERSBURG WV            06/05",-10.90,DEBIT_CARD,1312.07,,
DEBIT,06/06/2017,"KROGER FUEL #3753 PARKERSBURG WV             06/05",-35.16,DEBIT_CARD,1322.97,,
DEBIT,06/05/2017,"CVS/PHARM 06276--220 G PARKERSBURG WV        06/04",-30.00,DEBIT_CARD,1358.13,,
DEBIT,06/05/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        06/04",-79.90,DEBIT_CARD,1388.13,,
DEBIT,06/05/2017,"FIREHOUSE SUBS #73 VIENNA WV                 06/03",-13.25,DEBIT_CARD,1468.03,,
